Makale_ID,Baslik,Kategori,Kaynak,Yil,Icerik
TR001,Beşiktaş Bu Akşam Sahaya Çıkıyor,Spor,Milliyet,2024,"Beşiktaş, Süper Lig'in 25. haftasında bugün akşam Galatasaray ile karşılaşacak. Stat 45.000 seyirciyle doldu. Teknik direktör maç öncesi açıklamalar yaptı ve takımın hazır olduğunu belirtti. Geçen hafta 3-1 kazanan Beşiktaş, ligdeki liderliğini sürdürmek istiyor."
TR002,Türk Milli Takımı Hazırlıklarını Tamamladı,Spor,Hurriyet,2024,"A Milli Futbol Takımı, Avrupa Şampiyonası elemeleri için son hazırlıklarını tamamladı. Milli takım kalecisi sakatlığı nedeniyle kadrodan çıkarıldı. Teknik direktör Vincenzo Montella, oyuncuların motivasyonunun çok yüksek olduğunu söyledi."
TR003,Fenerbahçe Transfer Döneminde Büyük Hamle Yaptı,Spor,Sabah,2024,"Fenerbahçe, bu transfer döneminde beş yeni oyuncu kadrosuna kattı. Brezilyalı orta saha oyuncusu 10 milyon Euro'ya imzaladı. Kulüp başkanı, takımın Avrupa'da da güçlü bir kadroyla mücadele edeceğini açıkladı."
TR004,Galatasaray Şampiyonlar Ligi'nde Sahne Aldı,Spor,Milliyet,2023,"Galatasaray, UEFA Şampiyonlar Ligi grup aşamasında İspanya temsilcisi Atletico Madrid ile oynuyor. İlk 90 dakika oldukça çekişmeli geçti. Galatasaray, ilk yarıda iki gol attı ancak ikinci yarıda rakibine birer gol kaçırdı."
TR005,NBA'de Türk Basketbolcular Parladı,Spor,Hurriyet,2024,NBA'de forma giyen Türk basketbolcular bu sezon olağanüstü performans sergiliyor. Birçok oyuncu kariyerinin en iyi sezonunu geçiriyor. Amerikan medyası Türk basketbolcuların ligdeki yükselişine dikkat çekiyor.
TR006,Merkez Bankası Faiz Kararını Açıkladı,Ekonomi,Sabah,2024,"Türkiye Cumhuriyet Merkez Bankası, Para Politikası Kurulu toplantısının ardından faiz oranını yüzde 45 olarak sabit tuttu. Enflasyonla mücadelede kararlılık mesajı verildi. Analistler kararı olumlu karşıladı ve piyasalar beklenti dahilindeki karardan sonra sakin kaldı."
TR007,Dolar Kuru Rekor Seviyeye Ulaştı,Ekonomi,Milliyet,2024,Amerikan dolarının Türk lirası karşısındaki değeri bugün tarihi zirveye ulaştı. Merkez Bankası bu duruma ilişkin bir açıklama yapmadı. Ekonomistler kısa vadede kurda dengelenme beklentisinde olduklarını bildirdi.
TR008,Türkiye'nin İhracatı Geçen Yıla Göre Arttı,Ekonomi,Hurriyet,2024,Türkiye İstatistik Kurumu verilerine göre bu yılın ilk çeyreğinde toplam ihracat geçen yılın aynı dönemine göre yüzde 12 artarak 60 milyar dolara ulaştı. Otomobil ve tekstil sektörü ihracatın öncüsü oldu. Avrupa ülkeleri en büyük alıcı konumunda olmaya devam ediyor.
TR009,Borsa İstanbul Rekor Kırdı,Ekonomi,Sabah,2024,Borsa İstanbul'da BIST 100 endeksi bugün 9.500 puanı geçerek tarihi bir rekora imza attı. Yerli yatırımcılar piyasada aktif olmaya devam ederken yabancı yatırımcıların ilgisi de arttı. Analistler yıl sonuna kadar bu yükseliş trendinin sürmesini bekliyor.
TR010,Turizm Gelirleri Beklentileri Aştı,Ekonomi,Milliyet,2023,"Türkiye Turizm Bakanlığı açıklamasına göre bu yıl elde edilen turizm gelirleri 60 milyar doları geçti. Rusya, Almanya ve İngiltere en fazla turist gönderen ülkeler olarak öne çıktı. Antalya, İstanbul ve Kapadokya en çok ziyaret edilen destinasyonlar arasında yer aldı."
TR011,Türk Yapay Zeka Girişimi Dünya Devleriyle Yarışıyor,Teknoloji,Hurriyet,2024,"İstanbul merkezli yapay zeka şirketi, geliştirdiği dil modeliyle uluslararası arenada büyük ilgi görüyor. Şirket son altı ayda 50 milyon dolar yatırım aldı. Kurucu ortaklar, Türkiye'nin teknoloji üssüne dönüşeceğini öngörüyor."
TR012,Akıllı Telefon Kullanımı Türkiye'de Zirveye Ulaştı,Teknoloji,Sabah,2024,TÜBİTAK araştırmasına göre Türkiye'de akıllı telefon kullanıcısı sayısı 70 milyona ulaştı. Gençler günde ortalama 6 saat ekran başında zaman geçiriyor. Uzmanlar aşırı ekran süresinin sağlık üzerindeki olumsuz etkilerini vurguluyor.
TR013,TOGG Üretimde Yeni Hedefler Belirledi,Teknoloji,Milliyet,2024,"Türkiye'nin yerli otomobili TOGG, 2024 yılı için üretim hedefini 30.000 araç olarak belirledi. Fabrika kapasitesini artırmak için yeni yatırımlar yapılıyor. Yurt dışı satışlar için Avrupa pazarına giriş planları da hazırlandı."
TR014,Siber Güvenlikte Türk Firmalar Öne Çıkıyor,Teknoloji,Hurriyet,2024,Türk siber güvenlik şirketleri uluslararası pazarda güçlü bir yer edindi. NATO güvenlik testlerinde Türk yazılımları üst sıralarda yer aldı. Savunma sanayii entegrasyonu sayesinde sektör hızla büyüyor.
TR015,5G Altyapısı Büyük Şehirlere Yayılıyor,Teknoloji,Sabah,2024,"Bilgi Teknolojileri ve İletişim Kurumu açıklamasına göre 5G teknolojisi bu yıl sonuna kadar Ankara, İstanbul ve İzmir'de hayata geçirilecek. Türk Telekom ve Turkcell frekans tahsisi için rekabet ediyor. Uzmanlar 5G'nin ekonomiye katkısının milyarlarca dolar olacağını tahmin ediyor."
TR016,Sağlık Bakanlığı Yeni Kampanya Başlattı,Sağlık,Milliyet,2024,"Türkiye Sağlık Bakanlığı, sigara kullanımını azaltmak amacıyla kapsamlı bir farkındalık kampanyası başlattı. Kampanya sosyal medya, televizyon ve açık hava reklamlarını kapsıyor. Hedef üç yılda sigara kullanımını yüzde 20 düşürmek."
