Makale_ID,Baslik,Kategori,Kaynak,Yil,Temizlenmis_Icerik,Cumleler,Token_Sayisi,Duraksiz_Tokenlar,Lemmatized_Tokenlar
TR001,Beşiktaş Bu Akşam Sahaya Çıkıyor,Spor,Milliyet,2024,Beşiktaş Süper Lig in haftasında bugün akşam Galatasaray ile karşılaşacak Stat seyirciyle doldu Teknik direktör maç öncesi açıklamalar yaptı ve takımın hazır olduğunu belirtti Geçen hafta kazanan Beşiktaş ligdeki liderliğini sürdürmek istiyor,"Beşiktaş, Süper Lig'in 25. haftasında bugün akşam Galatasaray ile karşılaşacak. | Stat 45.000 seyirciyle doldu. | Teknik direktör maç öncesi açıklamalar yaptı ve takımın hazır olduğunu belirtti. | Geçen hafta 3-1 kazanan Beşiktaş, ligdeki liderliğini sürdürmek istiyor.",32,beşiktaş süper lig haftasında bugün akşam galatasaray karşılaşacak stat seyirciyle doldu teknik direktör maç öncesi açıklamalar yaptı takımın hazır olduğunu belirtti hafta kazanan beşiktaş ligdeki liderliğini sürdürmek istiyor,beşiktaş süper lig haftası bug akşam galatasaray karşılaş stat seyirciyle dol teknik direktör maç öncesi açıklama yap takım hazır olduğunu belirt haf kazanan beşiktaş lig liderliğini sürdür ist
TR002,Türk Milli Takımı Hazırlıklarını Tamamladı,Spor,Hurriyet,2024,A Milli Futbol Takımı Avrupa Şampiyonası elemeleri için son hazırlıklarını tamamladı Milli takım kalecisi sakatlığı nedeniyle kadrodan çıkarıldı Teknik direktör Vincenzo Montella oyuncuların motivasyonunun çok yüksek olduğunu söyledi,"A Milli Futbol Takımı, Avrupa Şampiyonası elemeleri için son hazırlıklarını tamamladı. | Milli takım kalecisi sakatlığı nedeniyle kadrodan çıkarıldı. | Teknik direktör Vincenzo Montella, oyuncuların motivasyonunun çok yüksek olduğunu söyledi.",27,milli futbol takımı avrupa şampiyonası elemeleri son hazırlıklarını tamamladı milli takım kalecisi sakatlığı nedeniyle kadrodan çıkarıldı teknik direktör vincenzo montella oyuncuların motivasyonunun yüksek olduğunu söyledi,milli futbol takımı avrupa şampiyonası eleme son hazırlıklarını tamamla milli takım kalecisi sakatlığı nedeniyle kadro çıkarıl teknik direktör vincenzo montella oyuncu motivasyonu yüksek olduğunu söyle
TR003,Fenerbahçe Transfer Döneminde Büyük Hamle Yaptı,Spor,Sabah,2024,Fenerbahçe bu transfer döneminde beş yeni oyuncu kadrosuna kattı Brezilyalı orta saha oyuncusu milyon Euro ya imzaladı Kulüp başkanı takımın Avrupa da da güçlü bir kadroyla mücadele edeceğini açıkladı,"Fenerbahçe, bu transfer döneminde beş yeni oyuncu kadrosuna kattı. | Brezilyalı orta saha oyuncusu 10 milyon Euro'ya imzaladı. | Kulüp başkanı, takımın Avrupa'da da güçlü bir kadroyla mücadele edeceğini açıkladı.",29,fenerbahçe transfer döneminde beş oyuncu kadrosuna kattı brezilyalı orta saha oyuncusu milyon euro imzaladı kulüp başkanı takımın avrupa güçlü kadroyla mücadele edeceğini açıkladı,fenerbahçe transfer dönemi beş oyun kadrosu kat brezilyalı orta saha oyuncusu milyon euro imzala kulüp başkanı takım avrupa güçlü kadroyla mücadele edeceğini açıkla
TR004,Galatasaray Şampiyonlar Ligi'nde Sahne Aldı,Spor,Milliyet,2023,Galatasaray UEFA Şampiyonlar Ligi grup aşamasında İspanya temsilcisi Atletico Madrid ile oynuyor İlk dakika oldukça çekişmeli geçti Galatasaray ilk yarıda iki gol attı ancak ikinci yarıda rakibine birer gol kaçırdı,"Galatasaray, UEFA Şampiyonlar Ligi grup aşamasında İspanya temsilcisi Atletico Madrid ile oynuyor. | İlk 90 dakika oldukça çekişmeli geçti. | Galatasaray, ilk yarıda iki gol attı ancak ikinci yarıda rakibine birer gol kaçırdı.",30,galatasaray uefa şampiyonlar ligi grup aşamasında ispanya temsilcisi atletico madrid oynuyor ilk dakika oldukça çekişmeli geçti galatasaray ilk yarıda iki gol attı ikinci yarıda rakibine birer gol kaçırdı,galatasaray uefa şampiyon ligi grup aşaması ispanya temsilcisi atletico madrid oyn ilk dakika oldukça çekişmeli geç galatasaray ilk yarı iki gol attı ikin yarı rakibi birer gol kaçır
TR005,NBA'de Türk Basketbolcular Parladı,Spor,Hurriyet,2024,NBA de forma giyen Türk basketbolcular bu sezon olağanüstü performans sergiliyor Birçok oyuncu kariyerinin en iyi sezonunu geçiriyor Amerikan medyası Türk basketbolcuların ligdeki yükselişine dikkat çekiyor,NBA'de forma giyen Türk basketbolcular bu sezon olağanüstü performans sergiliyor. | Birçok oyuncu kariyerinin en iyi sezonunu geçiriyor. | Amerikan medyası Türk basketbolcuların ligdeki yükselişine dikkat çekiyor.,26,nba forma giyen türk basketbolcular sezon olağanüstü performans sergiliyor birçok oyuncu kariyerinin iyi sezonunu geçiriyor amerikan medyası türk basketbolcuların ligdeki yükselişine dikkat çekiyor,nba forma giyen türk basketbolcu sezon olağanüs performans sergil birçok oyun kariyeri iyi sezonunu geçir amerikan medyası türk basketbolcu lig yükselişi dikkat çek
TR006,Merkez Bankası Faiz Kararını Açıkladı,Ekonomi,Sabah,2024,Türkiye Cumhuriyet Merkez Bankası Para Politikası Kurulu toplantısının ardından faiz oranını yüzde olarak sabit tuttu Enflasyonla mücadelede kararlılık mesajı verildi Analistler kararı olumlu karşıladı ve piyasalar beklenti dahilindeki karardan sonra sakin kaldı,"Türkiye Cumhuriyet Merkez Bankası, Para Politikası Kurulu toplantısının ardından faiz oranını yüzde 45 olarak sabit tuttu. | Enflasyonla mücadelede kararlılık mesajı verildi. | Analistler kararı olumlu karşıladı ve piyasalar beklenti dahilindeki karardan sonra sakin kaldı.",32,türkiye cumhuriyet merkez bankası para politikası kurulu toplantısının ardından faiz oranını yüzde sabit tuttu enflasyonla mücadelede kararlılık mesajı verildi analistler kararı olumlu karşıladı piyasalar beklenti dahilindeki karardan sakin kaldı,türkiye cumhuriyet merkez bankası para politikası kurulu toplantısı ardı faiz oranını yüz sabit tut enflasyonla mücadele kararlı mesajı veril analist kararı olumlu karşıla piyasa beklen dahilin karar sak kal
TR007,Dolar Kuru Rekor Seviyeye Ulaştı,Ekonomi,Milliyet,2024,Amerikan dolarının Türk lirası karşısındaki değeri bugün tarihi zirveye ulaştı Merkez Bankası bu duruma ilişkin bir açıklama yapmadı Ekonomistler kısa vadede kurda dengelenme beklentisinde olduklarını bildirdi,Amerikan dolarının Türk lirası karşısındaki değeri bugün tarihi zirveye ulaştı. | Merkez Bankası bu duruma ilişkin bir açıklama yapmadı. | Ekonomistler kısa vadede kurda dengelenme beklentisinde olduklarını bildirdi.,26,amerikan dolarının türk lirası karşısındaki değeri bugün tarihi zirveye ulaştı merkez bankası duruma ilişkin açıklama yapmadı ekonomistler kısa vadede kurda dengelenme beklentisinde olduklarını bildirdi,amerikan doları türk lirası karşısın değeri bug tarihi zirveye ulaş merkez bankası duruma ilişk açıklama yapma ekonomist kısa vade kur dengelenme beklentisi olduklarını bildir
TR008,Türkiye'nin İhracatı Geçen Yıla Göre Arttı,Ekonomi,Hurriyet,2024,Türkiye İstatistik Kurumu verilerine göre bu yılın ilk çeyreğinde toplam ihracat geçen yılın aynı dönemine göre yüzde artarak milyar dolara ulaştı Otomobil ve tekstil sektörü ihracatın öncüsü oldu Avrupa ülkeleri en büyük alıcı konumunda olmaya devam ediyor,Türkiye İstatistik Kurumu verilerine göre bu yılın ilk çeyreğinde toplam ihracat geçen yılın aynı dönemine göre yüzde 12 artarak 60 milyar dolara ulaştı. | Otomobil ve tekstil sektörü ihracatın öncüsü oldu. | Avrupa ülkeleri en büyük alıcı konumunda olmaya devam ediyor.,37,türkiye istatistik kurumu verilerine yılın ilk çeyreğinde toplam ihracat yılın dönemine yüzde artarak milyar dolara ulaştı otomobil tekstil sektörü ihracatın öncüsü avrupa ülkeleri alıcı konumunda olmaya devam ediyor,türkiye istatistik kurumu verileri yıl ilk çeyreği toplam ihracat yıl dönemi yüz art milyar dolara ulaş otomobil tekstil sektörü ihracat öncüsü avrupa ülke alı konumu olmaya devam edi
TR009,Borsa İstanbul Rekor Kırdı,Ekonomi,Sabah,2024,Borsa İstanbul da BIST endeksi bugün puanı geçerek tarihi bir rekora imza attı Yerli yatırımcılar piyasada aktif olmaya devam ederken yabancı yatırımcıların ilgisi de arttı Analistler yıl sonuna kadar bu yükseliş trendinin sürmesini bekliyor,Borsa İstanbul'da BIST 100 endeksi bugün 9.500 puanı geçerek tarihi bir rekora imza attı. | Yerli yatırımcılar piyasada aktif olmaya devam ederken yabancı yatırımcıların ilgisi de arttı. | Analistler yıl sonuna kadar bu yükseliş trendinin sürmesini bekliyor.,34,borsa istanbul bıst endeksi bugün puanı geçerek tarihi rekora imza attı yerli yatırımcılar piyasada aktif olmaya devam ederken yabancı yatırımcıların ilgisi arttı analistler yıl sonuna yükseliş trendinin sürmesini bekliyor,borsa istanbul bıst endeksi bug puanı geç tarihi rekora imza attı yerli yatırımcı piyasa aktif olmaya devam ederken yaban yatırımcı ilgisi art analist yıl sonu yükseliş trendi sürmesini bekl
TR010,Turizm Gelirleri Beklentileri Aştı,Ekonomi,Milliyet,2023,Türkiye Turizm Bakanlığı açıklamasına göre bu yıl elde edilen turizm gelirleri milyar doları geçti Rusya Almanya ve İngiltere en fazla turist gönderen ülkeler olarak öne çıktı Antalya İstanbul ve Kapadokya en çok ziyaret edilen destinasyonlar arasında yer aldı,"Türkiye Turizm Bakanlığı açıklamasına göre bu yıl elde edilen turizm gelirleri 60 milyar doları geçti. | Rusya, Almanya ve İngiltere en fazla turist gönderen ülkeler olarak öne çıktı. | Antalya, İstanbul ve Kapadokya en çok ziyaret edilen destinasyonlar arasında yer aldı.",38,türkiye turizm bakanlığı açıklamasına yıl elde edilen turizm gelirleri milyar doları geçti rusya almanya ingiltere fazla turist gönderen ülkeler öne çıktı antalya istanbul kapadokya ziyaret edilen destinasyonlar yer aldı,türkiye turizm bakanlığı açıklaması yıl elde edilen turizm gelir milyar doları geç rusya almanya ingiltere fazla turist gönderen ülke öne çık antalya istanbul kapadokya ziyaret edilen destinasyon yer aldı
