Makale_ID,Baslik,Kategori,Kaynak,Yil,Temizlenmis_Icerik,Cumleler,Token_Sayisi,Duraksiz_Tokenlar,Stemmed_Tokenlar
TR001,Beşiktaş Bu Akşam Sahaya Çıkıyor,Spor,Milliyet,2024,Beşiktaş Süper Lig in haftasında bugün akşam Galatasaray ile karşılaşacak Stat seyirciyle doldu Teknik direktör maç öncesi açıklamalar yaptı ve takımın hazır olduğunu belirtti Geçen hafta kazanan Beşiktaş ligdeki liderliğini sürdürmek istiyor,"Beşiktaş, Süper Lig'in 25. haftasında bugün akşam Galatasaray ile karşılaşacak. | Stat 45.000 seyirciyle doldu. | Teknik direktör maç öncesi açıklamalar yaptı ve takımın hazır olduğunu belirtti. | Geçen hafta 3-1 kazanan Beşiktaş, ligdeki liderliğini sürdürmek istiyor.",32,beşiktaş süper lig haftasında bugün akşam galatasaray karşılaşacak stat seyirciyle doldu teknik direktör maç öncesi açıklamalar yaptı takımın hazır olduğunu belirtti hafta kazanan beşiktaş ligdeki liderliğini sürdürmek istiyor,beşiktaş süper lig hafta bugu akşa galatasaray karşılaşacak stat seyirci dol teknik direktör maç önces açıklama yap tak hazır olduk belirtti haf kazana beşiktaş ligi liderlik sürdürmek istiyor
TR002,Türk Milli Takımı Hazırlıklarını Tamamladı,Spor,Hurriyet,2024,A Milli Futbol Takımı Avrupa Şampiyonası elemeleri için son hazırlıklarını tamamladı Milli takım kalecisi sakatlığı nedeniyle kadrodan çıkarıldı Teknik direktör Vincenzo Montella oyuncuların motivasyonunun çok yüksek olduğunu söyledi,"A Milli Futbol Takımı, Avrupa Şampiyonası elemeleri için son hazırlıklarını tamamladı. | Milli takım kalecisi sakatlığı nedeniyle kadrodan çıkarıldı. | Teknik direktör Vincenzo Montella, oyuncuların motivasyonunun çok yüksek olduğunu söyledi.",27,milli futbol takımı avrupa şampiyonası elemeleri son hazırlıklarını tamamladı milli takım kalecisi sakatlığı nedeniyle kadrodan çıkarıldı teknik direktör vincenzo montella oyuncuların motivasyonunun yüksek olduğunu söyledi,milli futbol tak avrup şampiyonas eleme son hazırlık tamamladı milli tak kalecis sakatlık neden kadro çıkarıl teknik direktör vincenzo montel oyuncu motivasyon yük olduk söyledi
TR003,Fenerbahçe Transfer Döneminde Büyük Hamle Yaptı,Spor,Sabah,2024,Fenerbahçe bu transfer döneminde beş yeni oyuncu kadrosuna kattı Brezilyalı orta saha oyuncusu milyon Euro ya imzaladı Kulüp başkanı takımın Avrupa da da güçlü bir kadroyla mücadele edeceğini açıkladı,"Fenerbahçe, bu transfer döneminde beş yeni oyuncu kadrosuna kattı. | Brezilyalı orta saha oyuncusu 10 milyon Euro'ya imzaladı. | Kulüp başkanı, takımın Avrupa'da da güçlü bir kadroyla mücadele edeceğini açıkladı.",29,fenerbahçe transfer döneminde beş oyuncu kadrosuna kattı brezilyalı orta saha oyuncusu milyon euro imzaladı kulüp başkanı takımın avrupa güçlü kadroyla mücadele edeceğini açıkladı,fenerbahçe transfer dönem beş oyuncu kadro kat brezilyal or sah oyuncus milyo euro imzaladı kulüp başka tak avrup güçlü kadro mücadel edecek açıkladı
TR004,Galatasaray Şampiyonlar Ligi'nde Sahne Aldı,Spor,Milliyet,2023,Galatasaray UEFA Şampiyonlar Ligi grup aşamasında İspanya temsilcisi Atletico Madrid ile oynuyor İlk dakika oldukça çekişmeli geçti Galatasaray ilk yarıda iki gol attı ancak ikinci yarıda rakibine birer gol kaçırdı,"Galatasaray, UEFA Şampiyonlar Ligi grup aşamasında İspanya temsilcisi Atletico Madrid ile oynuyor. | İlk 90 dakika oldukça çekişmeli geçti. | Galatasaray, ilk yarıda iki gol attı ancak ikinci yarıda rakibine birer gol kaçırdı.",30,galatasaray uefa şampiyonlar ligi grup aşamasında ispanya temsilcisi atletico madrid oynuyor ilk dakika oldukça çekişmeli geçti galatasaray ilk yarıda iki gol attı ikinci yarıda rakibine birer gol kaçırdı,galatasaray uef şampiyon ligi grup aşama ispanya temsilcis atletico madridi oynuyor ilk dakik oldukça çekişmel geç galatasaray ilk yarı ik gol at ikinci yarı rakip birer gol kaçır
TR005,NBA'de Türk Basketbolcular Parladı,Spor,Hurriyet,2024,NBA de forma giyen Türk basketbolcular bu sezon olağanüstü performans sergiliyor Birçok oyuncu kariyerinin en iyi sezonunu geçiriyor Amerikan medyası Türk basketbolcuların ligdeki yükselişine dikkat çekiyor,NBA'de forma giyen Türk basketbolcular bu sezon olağanüstü performans sergiliyor. | Birçok oyuncu kariyerinin en iyi sezonunu geçiriyor. | Amerikan medyası Türk basketbolcuların ligdeki yükselişine dikkat çekiyor.,26,nba forma giyen türk basketbolcular sezon olağanüstü performans sergiliyor birçok oyuncu kariyerinin iyi sezonunu geçiriyor amerikan medyası türk basketbolcuların ligdeki yükselişine dikkat çekiyor,nba forma giye türk basketbolcu sezo olağanüs performans sergiliyor birçok oyuncu kariyer i sezon geçiriyor amerika medyas türk basketbolcu ligi yükseliş dikkat çekiyor
TR006,Merkez Bankası Faiz Kararını Açıkladı,Ekonomi,Sabah,2024,Türkiye Cumhuriyet Merkez Bankası Para Politikası Kurulu toplantısının ardından faiz oranını yüzde olarak sabit tuttu Enflasyonla mücadelede kararlılık mesajı verildi Analistler kararı olumlu karşıladı ve piyasalar beklenti dahilindeki karardan sonra sakin kaldı,"Türkiye Cumhuriyet Merkez Bankası, Para Politikası Kurulu toplantısının ardından faiz oranını yüzde 45 olarak sabit tuttu. | Enflasyonla mücadelede kararlılık mesajı verildi. | Analistler kararı olumlu karşıladı ve piyasalar beklenti dahilindeki karardan sonra sakin kaldı.",32,türkiye cumhuriyet merkez bankası para politikası kurulu toplantısının ardından faiz oranını yüzde sabit tuttu enflasyonla mücadelede kararlılık mesajı verildi analistler kararı olumlu karşıladı piyasalar beklenti dahilindeki karardan sakin kaldı,türki cumhuriyet merkez bankas par politikas kurul toplantı ardı faiz oran yüz sabit tut enflasyo mücadele kararlılık mesaj veril analist karar olumlu karşıladı piyasa bekle dahil karar sak kal
TR007,Dolar Kuru Rekor Seviyeye Ulaştı,Ekonomi,Milliyet,2024,Amerikan dolarının Türk lirası karşısındaki değeri bugün tarihi zirveye ulaştı Merkez Bankası bu duruma ilişkin bir açıklama yapmadı Ekonomistler kısa vadede kurda dengelenme beklentisinde olduklarını bildirdi,Amerikan dolarının Türk lirası karşısındaki değeri bugün tarihi zirveye ulaştı. | Merkez Bankası bu duruma ilişkin bir açıklama yapmadı. | Ekonomistler kısa vadede kurda dengelenme beklentisinde olduklarını bildirdi.,26,amerikan dolarının türk lirası karşısındaki değeri bugün tarihi zirveye ulaştı merkez bankası duruma ilişkin açıklama yapmadı ekonomistler kısa vadede kurda dengelenme beklentisinde olduklarını bildirdi,amerika do türk liras karşıs değer bugu tarih zirve ulaş merkez bankas dur ilişk açıkla yapmadı ekonomist kıs vade kur dengelenme beklenti olduk bildir
TR008,Türkiye'nin İhracatı Geçen Yıla Göre Arttı,Ekonomi,Hurriyet,2024,Türkiye İstatistik Kurumu verilerine göre bu yılın ilk çeyreğinde toplam ihracat geçen yılın aynı dönemine göre yüzde artarak milyar dolara ulaştı Otomobil ve tekstil sektörü ihracatın öncüsü oldu Avrupa ülkeleri en büyük alıcı konumunda olmaya devam ediyor,Türkiye İstatistik Kurumu verilerine göre bu yılın ilk çeyreğinde toplam ihracat geçen yılın aynı dönemine göre yüzde 12 artarak 60 milyar dolara ulaştı. | Otomobil ve tekstil sektörü ihracatın öncüsü oldu. | Avrupa ülkeleri en büyük alıcı konumunda olmaya devam ediyor.,37,türkiye istatistik kurumu verilerine yılın ilk çeyreğinde toplam ihracat yılın dönemine yüzde artarak milyar dolara ulaştı otomobil tekstil sektörü ihracatın öncüsü avrupa ülkeleri alıcı konumunda olmaya devam ediyor,türki istatis kur veri yıl ilk çeyrek topla ihracat yıl dönem yüz artarak milyar do ulaş otomobil tekstil sektör ihracat öncüs avrup ülke alıç konum olma deva ediyor
TR009,Borsa İstanbul Rekor Kırdı,Ekonomi,Sabah,2024,Borsa İstanbul da BIST endeksi bugün puanı geçerek tarihi bir rekora imza attı Yerli yatırımcılar piyasada aktif olmaya devam ederken yabancı yatırımcıların ilgisi de arttı Analistler yıl sonuna kadar bu yükseliş trendinin sürmesini bekliyor,Borsa İstanbul'da BIST 100 endeksi bugün 9.500 puanı geçerek tarihi bir rekora imza attı. | Yerli yatırımcılar piyasada aktif olmaya devam ederken yabancı yatırımcıların ilgisi de arttı. | Analistler yıl sonuna kadar bu yükseliş trendinin sürmesini bekliyor.,34,borsa istanbul bıst endeksi bugün puanı geçerek tarihi rekora imza attı yerli yatırımcılar piyasada aktif olmaya devam ederken yabancı yatırımcıların ilgisi arttı analistler yıl sonuna yükseliş trendinin sürmesini bekliyor,bor istanbul bıst endeksi bugu puan geçerek tarih rekor imza at yerli yatırımcı piyasa aktif olma deva eder yabancı yatırımcı ilgis arttı analist yıl son yükseliş trendi sürme bekliyor
TR010,Turizm Gelirleri Beklentileri Aştı,Ekonomi,Milliyet,2023,Türkiye Turizm Bakanlığı açıklamasına göre bu yıl elde edilen turizm gelirleri milyar doları geçti Rusya Almanya ve İngiltere en fazla turist gönderen ülkeler olarak öne çıktı Antalya İstanbul ve Kapadokya en çok ziyaret edilen destinasyonlar arasında yer aldı,"Türkiye Turizm Bakanlığı açıklamasına göre bu yıl elde edilen turizm gelirleri 60 milyar doları geçti. | Rusya, Almanya ve İngiltere en fazla turist gönderen ülkeler olarak öne çıktı. | Antalya, İstanbul ve Kapadokya en çok ziyaret edilen destinasyonlar arasında yer aldı.",38,türkiye turizm bakanlığı açıklamasına yıl elde edilen turizm gelirleri milyar doları geçti rusya almanya ingiltere fazla turist gönderen ülkeler öne çıktı antalya istanbul kapadokya ziyaret edilen destinasyonlar yer aldı,türki turizm bakanlık açıklama yıl el edile turizm gelir milyar do geç rusya almanya ingilter faz turist göndere ülke ön çık antalya istanbul kapadokya ziyaret edile destinasyon yer al
