document_id,content
doc001,motor aşır ısınma hatas tespit edil soğutma siste yetersiz çalışıyor fan devre girmiyor termostat değer limit üzer seyrediyor
doc002,pompa basınç düşüş alarmı aktiv ol giriş valfı kısme tıkal akış debis beklene değer alt kalıyor
doc003,elektrik motor faz dengesizlik hatas faz bir geril değer normal yüz yirmi alt ölçül
doc004,hidrolik siste sızıntıs tespit edil sil contas yıpra yağ kaybı dakika beş mililitre düzey
doc005,konveyör bant kaymas alarm kodu oluş bant gerginlik yetersiz tahrik silindir kayıyor
doc006,plc haberleşme hatas kontrol ünites sah cihaz aras modbus bağlantıs zama aşım uğradı
doc007,kompresör yağ basıncı düşük alarm ver yağ pompas ver düş yağ filtres tıka dur
doc008,isı değiştiriç tıkanma hatas boru iç kireç birik oluş ıs transfer ver yüz kırk düş
doc009,redüktör dişli aşınma uyarıs titreş sensör anormal değer gösteriyor yağ analiz metal parçacık tespit edil
doc010,fır sıcaklık kontrol hatas pid kontrol döngüs kararsız çalışıyor sıcaklık set değer etraf sal yapıyor
doc011,vak pompas basınç yetersizlik hatas co sızıntıs neden istene vak seviye ulaşılamıyor
doc012,servo motor pozisyo hatas alarm kodu enkoder sinyal bozuluyor ger besle değer tutarsız
doc013,soğutma kules fan motor arızas motor rulman aş motor gövde anormal titreş hissediliyor
doc014,bo fır egzoz fa devir düşüklük frekans inverter çıkış geril düşük motor nominal devir çalışamıyor
doc015,şanzıma yağ sevi düşük uyarıs yağ tahli tapas sızdırıyor yağ seviyes minim limit alt in
doc016,pnömatik siste hav kaçak alarmı bor bağla nokta basınç kaybı oluyor kompresör sürekli devre
doc017,cnc tezgah ek sürüç hatas ekse servo sürücüs aşır ak korumas devre gir
doc018,kaza seviyes kritik düşük alarm besle su pompas yeterli dep sağlayamıyor kaza ısıtma devre dış kal
doc019,jeneratör voltaj regülatör arızas çıkış geril set değer sapıyor yük alt voltaj dalgalanmas artıyor
doc020,enjeksiyo makines plastik sıcaklık sapmas vida bölge ısıtıcıs arızal er sıcaklık istene değer ulaşmıyor
doc021,soğuk depo kompresör yük basınç kesme alarmı kondenser serpant kirli yoğuşma basıncı limit üzer çık
doc022,paketle makines fotosell ha kodu ür algıla sensör kirli yanlış hizala kon
doc023,kaynak makines ark hatas elektrot tel beslemes düzensiz kaynak parametre kararsız seyrediyor
doc024,bant tester kesme sapmas alarm kodu tester bıçak yorulma çatlak neden yön tutmuyor
doc025,endüksiyo ocak güç modül hatas igbt transistör grup aşır ıs termal kor devre gir
