document_id,content
doc001,motor aşırı ısınmak hata tespit etmek soğutmak sistem yeter çalışmak fan devre girmek termostat değer limit üzeri seyretmek
doc002,pompa basınç düşmek alarm aktive olmak girmek valfı kısmen tıkalı akmak debi beklemek değer alt kalmak
doc003,elektrik motor faz denge hata faz biri geri değer normal yüzde yirmi alt ölçmek
doc004,hidrolik sistem sızıntı tespit etmek si conta yıpramak yağ kayıp dakika beş mililitre düzey
doc005,konveyör bant kaymak alarm kod olmak bant gergin yeter tahrik silindir kaymak
doc006,plc haberleşmek hata kontrol ünite saha cihaz aras modbus bağlantı zaman aşım uğramak
doc007,kompresör yağ basın düşük alarm vermek yağ pompa veri düşmek yağ filtre tıkamak durum
doc008,isı değiştiri tıkamak hata bor iç kireç birikim olmak ısı transfer veri yüzde kırkmak düşmek
doc009,redüktör dişli aşınmak uyarı titreşim sensör anormal değer göstermek yağ analiz metal parça tespit etmek
doc010,fır sıcaklık kontrol hata pid kontrol döngü karar çalışmak sıcaklık set değer etraf salınım yapmak
doc011,vakum pompa basınç yeter hata conta sızıntı neden istemek vakum seviye u
doc012,servo motor pozisyon hata alarm kod enkoder sinyal bozmak geri beslemek değer tutar
doc013,soğutmak kule fan motor arıza motor rulman aşınmak motor gövde anormal titreşim hissetmek
doc014,boyamak fır egzoz fan devirmek düşük frekans inverteri çıkış geri düşük motor nominal devir çalışmak
doc015,şanzıman yağ seviye düşük uyarı yağ tahliye tapas sızdırmak yağ seviye minimum limit alt indî
doc016,pnömatik sistem hava kaçak alarm boru bağlantı nokta basınç kayıp olmak kompresör sürek devre
doc017,cnc tezgâh ekmek sürücü hata eksen servo sürücü aşırı ak korumak devre girmek
doc018,kaza seviye kritik düşük alarm beslemek su pompa yeter debi sağlamak kaza ısıtmak devre dış kal
doc019,jeneratör voltaj regülâtör arıza çıkış geri set değer sapmak yük alt voltaj dalga artmak
doc020,enjeksiyon makine plastik sıcaklık sapmak vida bölge ısıtmak arıza erimek sıcaklık istemek değer u
doc021,soğuk depo kompresör yük basınç kesmek alarm kondenser serpantin kir yoğuşmak basın limit üzeri çıkmak
doc022,paketlemek makine fotosell hata kod ürümek algılamak sensör kir yanlış hizalamak konu
doc023,kaynak makine ark hata elektrot tel beslemek düzen kaynak parametre karar seyretmek
doc024,bant testere kesmek sapmak alarm kod testere bıçak yormak çatlak neden yön tutmak
doc025,endüksiyon ocak güç modül hata igbt transistör grup aşırı ısı termal koru devre girmek
doc026,robot kol eklem hareket sınır aşmak altın ekmek açı limit değer geçmek acil durdurmak aktif olmak
doc027,santrifüj pompa kavitasyon uyarı girmek basın düşük pompa iç balon olmak başlamak
doc028,hava soğutmak chiller devre dış kal soğutmak akışkan seviye düşük sızdırmak test başarı
doc029,talaş makine takım kırmak algılamak hata kesmek takım ömür dolmak yüzey pürüz tolerans dış çıkmak
doc030,vidal kompresör yağ ayırmak tıkamak hata diferansiyel basınç sensör limit üzeri değer göstermek
doc031,elektrik panos aşırı ısı alarm soğutmak fan arıza kabin sıcaklık kırkmak beş derece üzeri çıkmak
doc032,hassas terazi kalibrasyon hata loadcell sinyal sürüklemek ölçüm tekrar bozmak
doc033,dolu makine haci ölçüm sapmak akmak ölçmek sensör kir gerçek dolu miktar hedef değer sapmak
doc034,tünel pastörizatör sıcaklık homojen bozmak orta bölge ısıtmak yeter çalışmak ürümek sıcaklık dağılım eşit değmek
doc035,rulman aşınmak izlemek sistem uyarı titreşim spektrum rulman hasar özgü frekans bileşen tespit etmek
doc036,kesinti güç kaynak batarya düşük kapasite uyarı batarya hücre yaşlanmak şarj kapasite nominal değer alt indî
doc037,frekans invertörü motor parametre uyum motor nominal değer inverter programlamak eş
doc038,paletleme robot emmek kupa basınç kayıp vakum jeneratör arıza ürümek kavram sıra düşmek olay yaşamak
doc039,arıtmak sistem membran tıkamak hata ters osmoz membran kir geçirgen katsayı düşmek
doc040,vinç taşımak yük aşım alarm yük hücre nominal kapasite faz değer ölçmek kaldırmak hareket bloke etmek
