document_id,content
doc001,Motor aşırı ısınma hatası tespit edildi. Soğutma sistemi yetersiz çalışıyor ve fan devreye girmiyor. Termostat değeri limitin üzerinde seyrediyor.
doc002,Pompa basınç düşüşü alarmı aktive oldu. Giriş valfı kısmen tıkalı ve akış debisi beklenen değerin altında kalıyor.
doc003,Elektrik motoru faz dengesizliği hatası. Üç fazdan birinde gerilim değeri normalin yüzde yirmi altında ölçüldü.
doc004,Hidrolik sistem sızıntısı tespit edildi. Silindir contası yıpranmış ve yağ kaybı dakikada beş mililitre düzeyinde.
doc005,Konveyör bant kayması alarm kodu oluştu. Bant gerginliği yetersiz ve tahrik silindiri kayıyor.
doc006,PLC haberleşme hatası. Kontrol ünitesi ile saha cihazları arasındaki Modbus bağlantısı zaman aşımına uğradı.
doc007,Kompresör yağ basıncı düşük alarm verdi. Yağ pompası verimi düştü ve yağ filtresi tıkanmış durumda.
doc008,Isı değiştirici tıkanma hatası. Borular içinde kireç birikimi oluşmuş ve ısı transfer verimi yüzde kırk düştü.
doc009,Redüktör dişli aşınma uyarısı. Titreşim sensörü anormal değerler gösteriyor ve yağ analizinde metal parçacığı tespit edildi.
doc010,Fırın sıcaklık kontrol hatası. PID kontrol döngüsü kararsız çalışıyor ve sıcaklık set değeri etrafında salınım yapıyor.
doc011,Vakum pompası basınç yetersizliği hatası. Conta sızıntısı nedeniyle istenen vakum seviyesine ulaşılamıyor.
doc012,Servo motor pozisyon hatası alarm kodu. Enkoder sinyali bozuluyor ve geri besleme değerleri tutarsız.
doc013,Soğutma kulesi fan motoru arızası. Motor rulmanları aşınmış ve motor gövdesinde anormal titreşim hissediliyor.
doc014,Boya fırını egzoz fanı devir düşüklüğü. Frekans inverteri çıkış gerilimi düşük ve motor nominal devirde çalışamıyor.
doc015,Şanzıman yağ seviye düşük uyarısı. Yağ tahliye tapası sızdırıyor ve yağ seviyesi minimum limitin altına indi.
doc016,Pnömatik sistem hava kaçağı alarmı. Boru bağlantı noktalarında basınç kaybı oluyor ve kompresör sürekli devrede.
doc017,CNC tezgah eksen sürücü hatası. X ekseni servo sürücüsü aşırı akım koruması devreye girdi.
doc018,Kazan su seviyesi kritik düşük alarm. Besleme suyu pompası yeterli debi sağlayamıyor ve kazan ısıtma devre dışı kaldı.
doc019,Jeneratör voltaj regülatör arızası. Çıkış gerilimi set değerinden sapıyor ve yük altında voltaj dalgalanması artıyor.
doc020,Enjeksiyon makinesi plastik sıcaklık sapması. Vida bölge ısıtıcısı arızalı ve erime sıcaklığı istenen değere ulaşmıyor.
doc021,Soğuk depo kompresörü yüksek basınç kesme alarmı. Kondenser serpantini kirli ve yoğuşma basıncı limitin üzerine çıktı.
doc022,Paketleme makinesi fotosell hata kodu. Ürün algılama sensörü kirli veya yanlış hizalanmış konumda.
doc023,Kaynak makinesi ark hatası. Elektrot tel beslemesi düzensiz ve kaynak parametreleri kararsız seyrediyor.
doc024,Bant testere kesme sapması alarm kodu. Testere bıçağı yorulma çatlağı nedeniyle yön tutmuyor.
doc025,Endüksiyon ocağı güç modülü hatası. IGBT transistör grubu aşırı ısındı ve termal koruma devreye girdi.
